2	3	15	18	34	93	34	139	34	174	58	111	170	171	38	50	30	160	29	158	77	499	499	499	499	499	499	499	499
4	66	77	19	20	30	32	34	36	58	65	76	81	82	89	90	94	59	41	184	29	499	499	499	499	499	499	499	499
60	20	78	79	91	35	127	123	38	102	28	103	132	32	115	102	96	100	146	84	193	499	499	499	499	499	499	499	499
132	138	18	83	78	44	48	33	40	42	56	57	158	13	183	46	91	102	105	124	115	499	499	499	499	499	499	499	499
88	142	78	85	181	100	50	5	167	138	82	59	61	63	65	67	31	92	106	111	151	499	499	499	499	499	499	499	499
41	184	110	87	92	42	51	126	129	170	65	71	44	121	13	69	77	135	27	113	117	499	499	499	499	499	499	499	499
63	191	67	93	94	190	60	36	27	190	72	72	37	81	149	159	78	90	64	5	187	499	499	499	499	499	499	499	499
89	192	192	96	100	6	66	68	70	72	74	90	92	94	53	61	63	98	100	180	199	205	220	270	288	299	306	195	147
174	200	66	142	111	129	18	91	126	121	21	124	30	100	173	190	1	50	103	115	118	155	42	105	66	172	308	161	20
23	204	206	220	113	115	118	121	173	63	30	151	27	115	27	163	153	153	134	24	119	41	190	113	5	148	335	338	85
196	206	147	225	36	74	116	123	28	5	43	57	162	118	5	189	155	63	9	155	121	195	41	72	160	159	145	345	163
198	208	37	231	56	61	189	124	194	52	180	168	147	121	193	87	118	104	159	86	124	20	39	69	17	15	10	348	144
116	210	217	232	17	84	42	126	70	58	11	52	87	122	124	160	176	53	52	52	137	192	50	199	120	36	111	354	179
74	103	102	235	237	51	20	128	143	184	157	64	129	43	125	36	180	49	55	184	142	15	28	138	79	200	153	356	132
59	145	48	116	238	54	40	51	146	129	66	155	143	131	127	48	186	190	192	195	197	74	50	180	42	30	108	357	20
176	170	153	7	239	240	22	4	159	161	12	43	77	88	129	63	38	106	39	5	199	30	156	199	124	43	51	359	51
70	44	181	11	6	253	255	152	168	173	174	177	179	181	131	45	47	57	35	36	200	250	252	255	265	276	54	400	401
152	129	36	73	11	101	257	168	153	127	45	121	12	182	135	19	127	37	109	55	138	80	197	113	66	290	310	155	402
121	32	42	67	185	193	259	87	66	117	65	170	44	183	198	202	205	218	225	236	238	240	254	277	279	300	312	350	404
318	155	47	33	200	197	265	267	269	307	309	310	311	312	314	316	320	106	108	98	178	154	196	137	190	13	55	352	450
446	331	222	121	49	149	28	79	96	41	162	21	88	147	161	35	321	325	326	329	333	335	340	344	348	349	350	354	479
